mongo requestN, mongo Time [ns],mongo Failed
520,32672000,false
521,32040800,false
522,32058100,false
523,4897900,false
524,2164600,false
525,31871000,false
526,32994800,false
527,32496600,false
528,2759200,false
529,33044000,false
530,33068800,false
531,32501900,false
532,2785600,false
533,2180000,false
534,33548700,false
535,33616400,false
536,34135300,false
537,33598200,false
538,33074100,false
539,33636000,false
540,33060100,false
541,33676700,false
542,33076500,false
543,34286600,false
544,33070000,false
545,33608800,false
546,33565700,false
547,33565700,false
548,33536100,false
549,33536100,false
550,32931700,false
551,33516300,false
552,32444400,false
553,34150300,false
554,34105300,false
555,34105300,false
556,33027800,false
557,34083000,false
558,34591000,false
559,34309600,false
560,33405200,false
561,33562600,false
562,33562600,false
563,35004600,false
564,35004600,false
565,34109100,false
566,33577800,false
567,33429200,false
568,33987800,false
569,33429200,false
570,32337100,false
571,32873700,false
572,33907700,false
573,33336200,false
574,32769700,false
575,33769800,false
576,33251800,false
577,33251800,false
578,32653800,false
579,33652600,false
580,33135300,false
581,33135300,false
582,33608300,false
583,33608300,false
584,33057700,false
585,34054100,false
586,33469300,false
587,33893200,false
588,34471900,false
589,34471900,false
590,34891500,false
591,34891500,false
592,35287700,false
593,34762400,false
594,34187800,false
595,34762400,false
596,35177300,false
597,34548800,false
598,35177300,false
599,34952300,false
600,33757900,false
601,33202200,false
602,34761600,false
603,35956000,false
604,34678100,false
605,34661600,false
606,34126400,false
607,34661600,false
608,34055600,false
609,62175100,false
610,33223000,false
611,35052800,false
612,35592900,false
613,37590500,false
614,38125700,false
615,63817100,false
616,34498800,false
617,35128500,false
618,34943900,false
619,38219900,false
620,34437400,false
621,37028100,false
622,33238600,false
623,34299600,false
624,36398600,false
625,35762900,false
626,35762900,false
627,34089000,false
628,34538500,false
629,33990500,false
630,34538500,false
631,33990500,false
632,34454000,false
633,32812300,false
634,33381000,false
635,33810700,false
636,34907200,false
637,34355600,false
638,34809600,false
639,34191300,false
640,34682300,false
641,33962800,false
642,34572700,false
643,34572700,false
644,33962800,false
645,34425400,false
646,34334400,false
647,34901500,false
648,34334400,false
649,34334400,false
650,34901500,false
651,33033800,false
652,34747400,false
653,33033800,false
654,34038500,false
655,35186800,false
656,34561700,false
657,33514900,false
658,33753200,false
659,33229400,false
660,33072000,false
661,35002100,false
662,33521600,false
663,33521600,false
664,33994700,false
665,35068500,false
666,32995100,false
667,33000500,false
668,34999200,false
669,33999600,false
670,34997200,false
671,36000800,false
672,36000800,false
673,35001700,false
674,35996000,false
675,34995900,false
676,34995900,false
677,34995900,false
678,34997200,false
679,35996000,false
680,34997200,false
681,34997200,false
682,33996900,false
683,34997600,false
684,34997600,false
685,34001200,false
686,32998600,false
687,34000700,false
688,35003300,false
689,32992800,false
690,32992800,false
691,35002900,false
692,35001400,false
693,35001400,false
694,34990800,false
695,34990800,false
696,34001300,false
697,35000000,false
698,35000000,false
699,34000700,false
700,34000700,false
701,33996600,false
702,33996600,false
703,35000300,false
704,34006000,false
705,34006000,false
706,35006200,false
707,35006200,false
708,34997800,false
709,34997800,false
710,35995000,false
711,35996800,false
