Scylla requestN, Scylla Time [ns],Scylla Failed
669,57009700,false
670,28006000,false
671,29005500,false
672,28006000,false
673,26992000,false
674,26992000,false
675,26992000,false
676,26992000,false
677,25997300,false
678,27996200,false
679,27001500,false
680,25999500,false
681,27001500,false
682,27000900,false
683,26001600,false
684,26001600,false
685,26001600,false
686,27998600,false
687,26999300,false
688,26000800,false
689,26000800,false
690,26999400,false
691,25997200,false
692,25997200,false
693,25997200,false
694,25992900,false
695,25992900,false
696,26996800,false
697,24995800,false
698,24995800,false
699,25998600,false
700,26995700,false
701,25002000,false
702,25002000,false
703,25999300,false
704,24998200,false
705,25999100,false
706,25000100,false
707,25000100,false
708,25000100,false
709,25000100,false
710,25998900,false
711,24999700,false
712,24999700,false
713,24999700,false
714,26003900,false
715,25003300,false
716,25003300,false
717,26003900,false
718,24999500,false
719,25999500,false
720,24999500,false
721,24999500,false
722,26002800,false
723,25002400,false
724,26002800,false
725,26002800,false
726,25002800,false
727,27002400,false
728,25000200,false
729,25000200,false
730,25000200,false
731,25999800,false
732,27996000,false
733,26999400,false
734,26999400,false
735,26999400,false
736,26999400,false
737,28003200,false
738,27003000,false
739,27003000,false
740,26003500,false
741,27001100,false
742,27001100,false
743,27001100,false
744,28000600,false
745,26998700,false
746,26998700,false
747,26998700,false
748,25995600,false
749,26995600,false
750,26995600,false
751,26995600,false
752,27998700,false
753,27002700,false
754,27002700,false
755,28002000,false
756,28002000,false
757,27002000,false
758,27002000,false
759,26996200,false
760,27996300,false
761,26996200,false
762,26996200,false
763,27998600,false
764,27000000,false
765,27000000,false
766,27000000,false
767,28003700,false
768,26993700,false
769,26993700,false
770,26993700,false
771,27988100,false
772,27000000,false
773,27000000,false
774,27988100,false
775,29004300,false
776,29156100,false
777,28151900,false
778,28151900,false
779,28730000,false
780,29734200,false
781,28245200,false
782,29246600,false
783,28245200,false
784,29244300,false
785,29244300,false
786,28246600,false
787,28246600,false
788,28246600,false
789,29247000,false
790,28248400,false
791,28248400,false
792,28248400,false
793,29248800,false
794,28249200,false
795,28249200,false
796,28249200,false
797,29248000,false
798,29248000,false
799,28245200,false
800,28245200,false
801,28245200,false
802,28248200,false
803,28248200,false
804,27247300,false
805,27247300,false
806,28247700,false
807,28247700,false
808,28247700,false
809,28247800,false
810,28247800,false
811,28247800,false
812,27243600,false
813,28244200,false
814,28244200,false
815,29248400,false
816,27248000,false
817,28248200,false
818,29244400,false
819,28248200,false
820,28248200,false
821,28246800,false
822,27246400,false
823,27246400,false
824,27246400,false
825,29250100,false
826,27250100,false
827,27250100,false
828,28245700,false
829,27246100,false
830,28245700,false
831,25249900,false
832,25249900,false
833,26247500,false
834,26247500,false
835,26245700,false
836,26245700,false
837,26245700,false
838,27249500,false
839,25248100,false
840,26248600,false
841,27246200,false
842,26248600,false
843,25250500,false
844,26251600,false
845,27249700,false
846,26251600,false
847,25251600,false
848,26248400,false
849,26248400,false
850,27248400,false
851,26248400,false
852,26243900,false
853,25244600,false
854,25244600,false
855,26243900,false
856,25244600,false
857,25251700,false
858,25251700,false
859,25251700,false
860,25251700,false
861,25247200,false
862,25247200,false
863,25247200,false
864,25245900,false
865,25245900,false
866,25245900,false
867,26249600,false
868,26250600,false
869,25256200,false
870,25256200,false
871,25256200,false
872,26249200,false
873,24093100,false
874,24244900,false
875,23515000,false
876,24093100,false
877,25092800,false
878,23998100,false
879,23998100,false
880,23998100,false
881,22999000,false
882,23999800,false
883,23999800,false
884,23999800,false
885,24001400,false
886,24001400,false
887,25001800,false
888,24001400,false
889,24001500,false
890,24001500,false
891,24001500,false
892,24001500,false
893,23002700,false
894,24006200,false
895,24006200,false
896,24006200,false
897,24004300,false
898,24004300,false
899,24004300,false
900,24001900,false
901,25002300,false
902,24001900,false
903,23003000,false
904,24001900,false
905,23999200,false
906,22998600,false
907,22998600,false
908,22998600,false
909,22998600,false
910,23002100,false
911,23002100,false
912,23002100,false
913,23002100,false
914,22000200,false
915,22998300,false
916,22998300,false
917,21995000,false
918,21995000,false
919,23996700,false
920,22993400,false
921,21997800,false
922,21997800,false
923,22998800,false
924,22001200,false
925,20999200,false
926,20999200,false
927,22002600,false
928,21002100,false
929,22002600,false
930,21002100,false
931,21998300,false
932,21998300,false
933,20997200,false
934,20997200,false
935,20000400,false
936,21001500,false
937,20000400,false
938,20000400,false
939,20000400,false
940,20005100,false
941,21006500,false
942,21006500,false
943,20005100,false
944,20005100,false
945,19999800,false
946,19999800,false
947,19999800,false
948,18997400,false
949,18997400,false
950,19998000,false
951,18993300,false
952,18993300,false
953,18993300,false
954,18000300,false
955,18000300,false
956,18999400,false
957,18999400,false
958,17999700,false
959,17999700,false
960,17999700,false
961,17999700,false
962,17999700,false
963,16996000,false
964,15995500,false
965,15995500,false
966,15995500,false
967,15995500,false
968,14992000,false
969,14994800,false
970,15993200,false
971,13996800,false
972,13996800,false
973,14998300,false
974,14002100,false
975,14998300,false
976,14002100,false
977,12998400,false
978,12998400,false
979,13996700,false
980,15000400,false
981,12998600,false
982,12998600,false
983,12998600,false
984,13996700,false
985,12999800,false
986,12999800,false
987,12999800,false
988,12999800,false
989,11998800,false
990,11998800,false
991,10995400,false
992,11995000,false
993,10998800,false
994,10998800,false
995,11995000,false
996,8991600,false
997,8991600,false
998,7000100,false
999,2000400,false
1000,15001000,false
1001,16002600,false
1002,16002600,false
1003,16002600,false
1004,16002600,false
1005,16002600,false
1006,16999400,false
1007,16999400,false
1008,16999400,false
1009,16999400,false
1010,16999400,false
1011,18000000,false
1012,18000000,false
1013,19002100,false
1014,19002100,false
1015,19002100,false
1016,19002100,false
1017,20000700,false
1018,20000700,false
1019,20000700,false
1020,20000700,false
1021,20000700,false
1022,21002400,false
1023,21002400,false
1024,21002400,false
1025,21002400,false
1026,22001200,false
1027,22001200,false
1028,22001200,false
1029,22001200,false
1030,23000900,false
1031,23000900,false
1032,23000900,false
1033,23000900,false
1034,24000900,false
1035,24000900,false
1036,24000900,false
1037,24000900,false
1038,25002500,false
1039,25002500,false
1040,25002500,false
1041,25002500,false
1042,26003300,false
1043,26003300,false
1044,26003300,false
1045,26003300,false
1046,27004700,false
1047,27004700,false
1048,27004700,false
1049,28008000,false
1050,28008000,false
1051,28008000,false
1052,28008000,false
1053,29000300,false
1054,29000300,false
1055,29000300,false
1056,29000300,false
1057,29000300,false
1058,30002700,false
1059,30002700,false
1060,30002700,false
1061,30002700,false
1062,30999600,false
1063,30999600,false
1064,30999600,false
1065,30999600,false
1066,32001600,false
1067,32001600,false
1068,32001600,false
1069,32001600,false
1070,33004500,false
1071,34005400,false
1072,34005400,false
1073,35001700,false
1074,35001700,false
1075,35001700,false
1076,35001700,false
1077,36002500,false
1078,36002500,false
1079,36002500,false
1080,36002500,false
1081,36999800,false
1082,36999800,false
1083,36999800,false
1084,36999800,false
1085,36999800,false
1086,38005200,false
1087,38005200,false
1088,38005200,false
1089,38005200,false
1090,39001100,false
1091,39001100,false
1092,39001100,false
1093,39001100,false
1094,40001700,false
1095,40001700,false
1096,41002500,false
1097,41002500,false
1098,41002500,false
1099,41002500,false
1100,26000700,false
1101,26000700,false
1102,26000700,false
1103,26000700,false
1104,27002300,false
1105,26998800,false
1106,26002000,false
1107,26002000,false
1108,26002000,false
1109,26000600,false
1110,27001200,false
1111,27001200,false
1112,25998300,false
1113,25998300,false
1114,27000400,false
1115,25998300,false
1116,25998300,false
1117,25999400,false
1118,25999400,false
1119,25999400,false
1120,27000500,false
1121,25998800,false
1122,27000500,false
1123,25998800,false
1124,27003600,false
1125,26004800,false
1126,27003600,false
1127,27003500,false
1128,27003500,false
1129,26003800,false
1130,26003800,false
1131,27003500,false
1132,27004600,false
1133,26004600,false
1134,26999900,false
1135,26999900,false
1136,25998300,false
1137,25998300,false
1138,26999900,false
1139,29000100,false
1140,26998500,false
1141,26999800,false
1142,26999800,false
1143,27997700,false
1144,28998500,false
1145,27997000,false
1146,27997000,false
1147,28998400,false
1148,28996900,false
1149,27993600,false
1150,27993600,false
1151,28994800,false
1152,28994800,false
1153,28002500,false
1154,29001600,false
1155,29001600,false
1156,27999200,false
1157,30004900,false
1158,29002500,false
1159,30004900,false
1160,28005600,false
1161,29004700,false
1162,29004700,false
1163,30001600,false
1164,30001600,false
1165,30001100,false
1166,28999100,false
1167,28999100,false
1168,29999600,false
1169,29999600,false
1170,28996700,false
1171,27995800,false
1172,28998500,false
1173,28002200,false
1174,28002200,false
1175,28002200,false
1176,28003400,false
1177,28003400,false
1178,28003400,false
1179,29004200,false
1180,28998800,false
1181,28001500,false
1182,28001500,false
1183,28001500,false
1184,28001500,false
1185,27995600,false
1186,29001000,false
1187,27995600,false
1188,27995600,false
1189,27999400,false
1190,27999400,false
1191,27999400,false
1192,28995300,false
1193,29005700,false
1194,27004300,false
1195,27004300,false
1196,28005100,false
1197,28999600,false
1198,27998800,false
1199,26998000,false
1200,27999900,false
1201,27999900,false
1202,29000700,false
1203,27999900,false
1204,29000200,false
1205,28002100,false
1206,28002100,false
1207,29002500,false
1208,29002500,false
1209,28003300,false
1210,29001900,false
1211,34000600,false
1212,34002900,false
1213,35007200,false
1214,36000300,false
1215,36000300,false
1216,35000600,false
1217,37999500,false
1218,39998500,false
1219,39003700,false
1220,39003700,false
1221,45002600,false
1222,44001500,false
1223,47282700,false
1224,47282700,false
1225,48287500,false
1226,47287100,false
1227,47287100,false
1228,48285800,false
1229,47287100,false
1230,48283100,false
1231,48283100,false
1232,57998400,false
1233,59993900,false
1234,58998600,false
1235,58998600,false
1236,59519700,false
1237,60515000,false
1238,59519700,false
1239,60040700,false
1240,58038400,false
1241,57737600,false
1242,59306200,false
1243,61306200,false
1244,62217900,false
1245,60977200,false
1246,61484000,false
1247,61497400,false
1248,63497700,false
1249,62496500,false
1250,62496500,false
1251,64497400,false
1252,64497400,false
1253,65497300,false
1254,63496200,false
1255,62497100,false
1256,63496200,false
1257,62492900,false
1258,62492900,false
1259,63494700,false
1260,63494700,false
1261,63489900,false
1262,63489900,false
1263,2995200,false
1264,62493500,false
1265,63496600,false
1266,64493000,false
1267,63496600,false
1268,62496100,false
1269,63499200,false
1270,63499200,false
1271,64495400,false
1272,63492700,false
1273,63492700,false
1274,64494600,false
1275,64494600,false
1276,63492600,false
1277,64492700,false
1278,64492700,false
1279,64492700,false
1280,64498300,false
1281,64498300,false
1282,64498300,false
1283,64498300,false
1284,3999000,false
1285,65494300,false
1286,64494800,false
1287,64494800,false
1288,65495000,false
1289,65495000,false
1290,64495300,false
1291,64495300,false
1292,65498300,false
1293,64492000,false
1294,65498300,false
1295,65488200,false
1296,65488200,false
1297,65488200,false
1298,64493700,false
1299,65494300,false
1300,65494300,false
1301,64492400,false
1302,64492400,false
1303,65491100,false
1304,64490800,false
1305,64490800,false
1306,65491100,false
1307,64490800,false
1308,64490500,false
1309,64490500,false
1310,64490500,false
1311,64498100,false
1312,57493000,false
1313,58497300,false
1314,3005000,false
1315,57497100,false
1316,57497100,false
1317,57497100,false
1318,3003500,false
1319,55499400,false
1320,54500100,false
1321,53494100,false
1322,53494100,false
1323,45208000,false
1324,44204900,false
1325,44204900,false
1326,44204900,false
1327,49494000,false
1328,46207100,false
1329,46207100,false
1330,50493100,false
1331,45204000,false
1332,45208400,false
1333,45208400,false
1334,32496800,false
1335,32496800,false
1336,33498000,false
1337,33498000,false
1338,32976900,false
1339,32976900,false
1340,32976900,false
1341,33457000,false
1342,33457000,false
1343,32759900,false
1344,32187600,false
1345,32187600,false
1346,30273800,false
1347,29515900,false
1348,24995800,false
1349,26996400,false
1350,26996400,false
1351,30010000,false
1352,87491000,false
1353,26996300,false
1354,26996300,false
1355,26999800,false
1356,26999800,false
1357,26999800,false
1358,28998600,false
1359,26995100,false
1360,29995700,false
1361,26995100,false
1362,24997700,false
1363,29996500,false
1364,24995100,false
1365,27001300,false
1366,25998200,false
1367,28001600,false
1368,24999200,false
1369,23997300,false
1370,28001600,false
1371,23997300,false
1372,22997000,false
1373,27999300,false
1374,27999300,false
1375,26996200,false
1376,30000700,false
1377,24996300,false
1378,26998300,false
1379,24996300,false
1380,23995300,false
1381,24995500,false
1382,26996600,false
1383,25996500,false
1384,22999300,false
1385,25995200,false
1386,24999200,false
1387,24999200,false
1388,24999200,false
1389,24999200,false
1390,24000700,false
1391,25003700,false
1392,25003700,false
1393,24994500,false
1394,24994500,false
1395,24994500,false
1396,23998300,false
1397,23998300,false
1398,24999400,false
1399,24999400,false
1400,23998800,false
1401,25005000,false
1402,81499400,false
1403,24006300,false
1404,24006300,false
1405,25998600,false
1406,24999900,false
1407,24999900,false
1408,23999800,false
1409,23999800,false
1410,24999000,false
1411,23992800,false
1412,23992800,false
1413,23992800,false
1414,24999000,false
1415,24998900,false
1416,24998900,false
1417,24998900,false
1418,23997700,false
1419,24998100,false
1420,24998100,false
1421,24998100,false
1422,25999300,false
1423,24000400,false
1424,25008600,false
1425,25008600,false
1426,25008600,false
1427,24999000,false
1428,25998100,false
1429,24999000,false
1430,23998600,false
1431,26002200,false
1432,25001800,false
1433,26002200,false
1434,25001800,false
1435,26001300,false
1436,25000100,false
1437,25000100,false
1438,25000100,false
1439,26003700,false
1440,25002600,false
1441,26003700,false
1442,25996800,false
1443,25000500,false
1444,25000500,false
1445,26997300,false
1446,26001000,false
1447,26001000,false
1448,26001000,false
1449,26002500,false
1450,26002500,false
1451,26002500,false
1452,25002900,false
1453,24997900,false
1454,24997900,false
1455,24997900,false
1456,26000500,false
1457,26000500,false
1458,26000000,false
1459,25002900,false
1460,25002900,false
1461,25002900,false
1462,24002400,false
1463,25002700,false
1464,25002700,false
1465,25002700,false
1466,26003200,false
1467,24999100,false
1468,24999100,false
1469,24999100,false
1470,24999100,false
1471,24997300,false
1472,24997300,false
1473,25998100,false
1474,24997300,false
1475,25004500,false
1476,26002800,false
1477,25004500,false
1478,26012100,false
1479,26012100,false
1480,25011900,false
1481,26002100,false
1482,26002100,false
1483,27002300,false
1484,26002100,false
1485,25002400,false
1486,26001300,false
1487,26001300,false
1488,26001300,false
1489,24996600,false
1490,27000500,false
1491,25995800,false
1492,25995800,false
1493,26000800,false
1494,26000800,false
1495,26000800,false
1496,26000800,false
1497,26000300,false
1498,26000300,false
1499,26000300,false
1500,28002900,false
1501,25995600,false
1502,25995600,false
1503,25995600,false
1504,25002000,false
1505,26000400,false
1506,25001200,false
1507,25001200,false
1508,25001200,false
1509,27001800,false
1510,26002600,false
1511,27001800,false
1512,28999900,false
1513,28006300,false
1514,26000900,false
1515,25003800,false
1516,25999200,false
1517,25999200,false
1518,25999200,false
1519,24998800,false
1520,24998800,false
1521,25997100,false
1522,25997100,false
1523,25997100,false
1524,24988900,false
1525,25993400,false
1526,25993400,false
1527,25003900,false
1528,25003900,false
1529,26001400,false
1530,24998200,false
1531,24998200,false
1532,26001400,false
1533,25997300,false
1534,25997300,false
1535,25998700,false
1536,25998700,false
1537,25998700,false
1538,27000700,false
1539,25997100,false
1540,25997100,false
1541,25997100,false
1542,26003200,false
1543,26003200,false
1544,26003200,false
1545,25002700,false
1546,25002700,false
1547,26004300,false
1548,26004300,false
1549,25001900,false
1550,26001000,false
1551,26001000,false
1552,26001000,false
1553,26003000,false
1554,26003000,false
1555,26003000,false
1556,26003000,false
1557,26003000,false
1558,25998300,false
1559,25998300,false
1560,25998300,false
1561,25998300,false
1562,25998000,false
1563,25998000,false
1564,26998300,false
1565,26999800,false
1566,26999800,false
1567,27996500,false
1568,27996500,false
1569,28000600,false
1570,27001600,false
1571,27001600,false
1572,28003600,false
1573,29002600,false
1574,26998100,false
1575,28003600,false
1576,27999500,false
1577,26991900,false
1578,27999500,false
1579,26991900,false
1580,27988800,false
1581,26998600,false
1582,26998600,false
1583,27999600,false
1584,27999600,false
1585,27000700,false
1586,28000000,false
1587,28000000,false
1588,28998900,false
1589,27000800,false
1590,29003800,false
1591,28004600,false
1592,28004600,false
1593,27005800,false
1594,27005800,false
1595,28004800,false
1596,28004800,false
1597,27004200,false
1598,27004200,false
1599,28007800,false
1600,27006300,false
1601,27006300,false
1602,27006300,false
1603,27999900,false
1604,27999900,false
1605,27001500,false
1606,28001000,false
1607,28001000,false
1608,28001000,false
1609,28001700,false
1610,28001700,false
1611,28001700,false
1612,2001600,false
1613,28000100,false
1614,28000100,false
1615,2005000,false
1616,28997300,false
1617,28001900,false
1618,28001900,false
1619,28001900,false
1620,29001400,false
1621,29001400,false
1622,29009500,false
1623,29009500,false
1624,29009500,false
1625,28997300,false
1626,28997300,false
1627,28997300,false
1628,30001800,false
1629,29996100,false
1630,28998600,false
1631,28998600,false
1632,27999500,false
1633,30000900,false
1634,30000900,false
1635,29001800,false
1636,28000900,false
1637,29000900,false
1638,29000900,false
1639,27998900,false
1640,28997400,false
1641,28997400,false
1642,28997400,false
1643,28997400,false
1644,28997400,false
1645,28997400,false
1646,29997300,false
1647,28995700,false
1648,28995700,false
1649,29000700,false
1650,29000700,false
1651,30996100,false
1652,31997700,false
1653,28997400,false
1654,28997400,false
1655,30997700,false
1656,29998100,false
