Scylla requestN, Scylla Time [ns],Scylla Failed
361,22000600,false
362,25000300,false
363,23001200,false
364,18000600,false
365,22000600,false
366,21996700,false
367,26000400,false
368,21996700,false
369,19000700,false
370,23000700,false
371,23000700,false
372,25001100,false
373,22000000,false
374,24000500,false
375,19000400,false
376,20000500,false
377,19000400,false
378,16999500,false
379,16999500,false
380,19001000,false
381,16999500,false
382,17997900,false
383,16999500,false
384,20002500,false
385,20002500,false
386,18001000,false
387,20002500,false
388,18999400,false
389,22000500,false
390,21002000,false
391,22000500,false
392,22000500,false
393,21002000,false
394,18995200,false
395,18995200,false
396,18995200,false
397,18995200,false
398,20001000,false
399,19003500,false
400,19003500,false
401,19003500,false
402,19003500,false
403,18002300,false
404,19003500,false
405,19999000,false
406,18997800,false
407,18997800,false
408,20002900,false
409,19005300,false
410,19005300,false
411,19005300,false
412,19005300,false
413,19005300,false
414,19002300,false
415,19002300,false
416,19002300,false
417,19002300,false
418,19002300,false
419,18998200,false
420,18998200,false
421,18998200,false
422,18998200,false
423,18998200,false
424,18998700,false
425,18998700,false
426,18998700,false
427,18998700,false
428,19998700,false
429,18999300,false
430,18999300,false
431,18999300,false
432,18999300,false
433,19998600,false
434,11000900,false
435,11000900,false
436,12999800,false
437,12000000,false
438,13000400,false
439,17000300,false
440,13000400,false
441,15000300,false
442,15000300,false
443,15006300,false
444,15006300,false
445,16998900,false
446,20999000,false
447,18999600,false
448,23000000,false
449,18999600,false
450,23001100,false
451,21000200,false
452,21999100,false
453,23001100,false
454,24001600,false
455,22999600,false
456,22000700,false
457,17001700,false
458,17001700,false
459,18000500,false
460,18999600,false
461,18999600,false
462,18000500,false
463,20999900,false
464,24000000,false
465,26000900,false
466,26999900,false
467,20999800,false
468,25998600,false
469,21999600,false
470,27999600,false
471,26998000,false
472,22999000,false
473,28000000,false
474,28000000,false
475,23999100,false
476,26998900,false
477,26998900,false
478,29998800,false
479,25998400,false
480,25998400,false
481,26001300,false
482,27000800,false
483,31001200,false
484,20000800,false
485,18997100,false
486,18001600,false
487,22999700,false
488,19996000,false
489,19996000,false
490,22999700,false
491,19996000,false
492,23000900,false
493,23000900,false
494,23000900,false
495,22000400,false
496,20996700,false
497,21996300,false
498,23000000,false
499,25000000,false
500,21000800,false
501,23000000,false
502,24999500,false
503,23999000,false
504,24999500,false
505,25999000,false
506,25999000,false
507,21996100,false
508,23001200,false
509,21996100,false
510,21996100,false
511,21996100,false
512,22995100,false
513,22995100,false
514,21998400,false
515,21998400,false
516,21998400,false
517,21998400,false
518,22998600,false
519,20999500,false
520,20999500,false
521,22000500,false
522,23003300,false
523,23003300,false
524,23003300,false
525,22002300,false
526,23003300,false
527,23002900,false
528,22002900,false
529,22002900,false
530,22002900,false
531,22999900,false
532,22000600,false
533,22000600,false
534,22000600,false
535,22000600,false
536,22004000,false
537,22004000,false
538,22004000,false
539,22004000,false
540,25000900,false
541,24001600,false
542,23001200,false
543,21995100,false
544,21995100,false
545,22001300,false
546,21000100,false
547,21000100,false
548,21000100,false
549,21000100,false
550,20998000,false
551,20998000,false
552,20998000,false
553,20998000,false
554,19997500,false
555,20998500,false
556,20998500,false
557,20998500,false
558,20998500,false
559,19999700,false
560,19999700,false
561,21000600,false
562,21000600,false
563,20000100,false
564,20000100,false
565,20000100,false
566,20999000,false
567,19999300,false
568,19999300,false
569,13998500,false
570,13998500,false
571,13998500,false
572,14998100,false
573,16000300,false
574,20002100,false
575,21001500,false
576,20002100,false
577,16000300,false
578,17999900,false
579,19004700,false
580,19004700,false
581,21006900,false
582,16005500,false
583,19004700,false
584,16005500,false
585,20999400,false
586,17997400,false
587,18998100,false
588,21999200,false
589,21999200,false
590,19000900,false
591,22002900,false
592,20001600,false
593,24002100,false
594,20001600,false
