sql requestN, sql Time [ns],sql Failed
160,48752600,false
161,54752300,false
162,53755300,false
163,43291000,false
164,99000600,false
165,38392100,false
166,49932900,false
167,52462400,false
168,58457700,false
169,71114200,false
170,61668200,false
171,50185300,false
172,60186100,false
173,41186500,false
174,67183000,false
175,62189700,false
176,40183700,false
177,59189100,false
178,43782200,false
179,71789900,false
180,61338600,false
181,42850500,false
182,44862400,false
183,39870200,false
184,50407200,false
185,39410200,false
186,42502800,false
187,41508400,false
188,40729400,false
189,44727100,false
190,45725100,false
191,44727100,false
192,42725800,false
193,42259200,false
194,42259200,false
195,43329400,false
196,48314500,false
197,47328900,false
198,46322000,false
199,40377200,false
200,35742900,false
201,40240500,false
202,38261400,false
203,39253800,false
204,49319700,false
205,43352000,false
206,46319000,false
207,44888200,false
208,55321200,false
209,45890900,false
210,34739100,false
211,33733800,false
212,35740000,false
213,32740800,false
214,54327000,false
215,31739900,false
216,40744400,false
217,40744400,false
218,32746500,false
219,32746500,false
220,41739600,false
221,34742600,false
222,41739600,false
223,58336700,false
224,46747300,false
225,46742500,false
226,37736900,false
227,48734400,false
228,45736300,false
229,42733900,false
230,42733900,false
231,41729200,false
232,41733200,false
233,38734000,false
234,48732600,false
235,49734400,false
236,44727700,false
237,41730300,false
238,40725000,false
239,45728200,false
240,49730400,false
241,46734200,false
242,42736300,false
243,35465700,false
244,38730900,false
245,51725000,false
246,52734300,false
247,46741100,false
248,25593400,false
249,39610800,false
250,49723700,false
251,41990500,false
252,28588800,false
253,27993500,false
254,44731400,false
255,29589900,false
256,37128100,false
257,32715200,false
258,37657900,false
259,48784800,false
260,39711900,false
261,40372700,false
262,18752500,false
263,47504700,false
264,41432600,false
265,26334900,false
266,48445200,false
267,34883500,false
268,52306000,false
269,52188000,false
270,44348600,false
271,51241200,false
272,72625600,false
273,46344500,false
274,54109100,false
275,47264500,false
276,57063600,false
277,54334000,false
278,54334000,false
279,52655100,false
280,60219200,false
281,46191200,false
282,41206100,false
283,40203400,false
284,63414700,false
