Scylla requestN, Scylla Time [ns],Scylla Failed
699,32006600,false
700,34006900,false
701,34006900,false
702,35006000,false
703,31999100,false
704,31000400,false
705,31000400,false
706,27998400,false
707,29997600,false
708,29997600,false
709,34997600,false
710,35000700,false
711,31998700,false
712,30003900,false
713,31998700,false
714,32995400,false
715,31999900,false
716,29996800,false
717,32000000,false
718,36996800,false
719,28995800,false
720,30995800,false
721,33000600,false
722,33999900,false
723,33999900,false
724,32997300,false
725,31996300,false
726,31996300,false
727,31996100,false
728,30999900,false
729,30999900,false
730,29998400,false
731,33999900,false
732,32004300,false
733,33000500,false
734,30006200,false
735,31004300,false
736,30006200,false
737,30006800,false
738,33007700,false
739,31010400,false
740,34000800,false
741,29999000,false
742,30001100,false
743,30001100,false
744,31001800,false
745,33006300,false
746,29996400,false
747,32995900,false
748,29996400,false
749,31000700,false
750,32999300,false
751,32995000,false
752,32995000,false
753,34996100,false
754,35997000,false
755,31000300,false
756,29999900,false
757,31000000,false
758,29995300,false
759,29995300,false
760,34996900,false
761,31999300,false
762,31999300,false
763,33001300,false
764,33001300,false
765,33004600,false
766,32003600,false
767,32003600,false
768,32994300,false
769,32001000,false
770,32001000,false
771,30996700,false
772,33002400,false
773,31000600,false
774,31000600,false
775,32000400,false
776,34995500,false
777,31003400,false
778,31003400,false
779,35002000,false
780,32003200,false
781,33001100,false
782,31999400,false
783,31999400,false
784,31999400,false
785,32998900,false
786,31999200,false
787,35995100,false
788,36996600,false
789,33000700,false
790,33000700,false
791,35999100,false
792,33009600,false
793,33009600,false
794,32998000,false
795,31992300,false
796,32998000,false
797,31992300,false
798,36001900,false
799,36001900,false
800,34999800,false
801,33994100,false
802,32997600,false
803,32001100,false
804,33996400,false
805,34992900,false
806,33996400,false
807,31006100,false
808,31006100,false
809,32007900,false
810,35006400,false
811,31001600,false
812,31998300,false
813,31000600,false
814,36000500,false
815,31000600,false
816,32996700,false
817,32999500,false
818,32000100,false
819,29999000,false
820,30999500,false
821,32004000,false
822,32004000,false
823,34004000,false
824,32005200,false
825,33005700,false
826,31006000,false
827,31006000,false
828,30996600,false
829,30996600,false
830,29995900,false
831,33000200,false
832,33001400,false
833,31997000,false
834,34000400,false
835,31995300,false
836,31995300,false
837,30991100,false
838,30999300,false
839,31992400,false
840,30999300,false
841,30999300,false
842,30997100,false
843,30997100,false
844,30997100,false
845,31004200,false
846,31004200,false
847,31997400,false
848,31004200,false
849,31000200,false
850,28003300,false
851,29003400,false
852,30003800,false
853,32000600,false
854,30003800,false
855,29000100,false
856,29000100,false
857,29000100,false
858,32003900,false
859,32003900,false
860,31003800,false
861,33004300,false
862,31999600,false
863,27999600,false
864,29998300,false
865,4005900,false
866,30000300,false
867,31008300,false
868,30000300,false
869,30000200,false
870,4000800,false
871,30004000,false
872,31005400,false
873,30004000,false
874,31005400,false
875,31004500,false
876,30004700,false
877,30004700,false
878,30004700,false
879,31001600,false
880,30001800,false
881,29003900,false
882,30007000,false
883,30007000,false
884,30007000,false
885,32000500,false
886,30003100,false
887,30003100,false
888,30003100,false
889,30000000,false
890,30000000,false
891,30000000,false
892,30998700,false
893,29989600,false
894,29989600,false
895,28999100,false
896,30004100,false
897,28002300,false
898,28002300,false
899,30004100,false
900,29000300,false
901,31002100,false
902,28001500,false
903,29000300,false
904,30001800,false
905,27993000,false
906,27993000,false
907,29999500,false
908,28989500,false
909,32002200,false
910,29001200,false
911,32000200,false
912,30990200,false
913,28999600,false
914,28999600,false
915,30996700,false
916,29998300,false
917,28998800,false
918,29998300,false
919,30000500,false
920,30000500,false
921,27994300,false
922,28996000,false
923,29998800,false
924,29998800,false
925,28997100,false
926,28002100,false
927,29992000,false
928,29992000,false
929,27996600,false
930,26997600,false
931,28997000,false
932,29998800,false
933,28998400,false
934,26998100,false
935,26998100,false
936,27999400,false
937,27997700,false
938,28999000,false
939,27997700,false
940,26997100,false
941,27996500,false
942,27996500,false
943,26996200,false
944,26996200,false
945,25995900,false
946,27996900,false
947,26996600,false
948,27996900,false
949,25996200,false
950,26996600,false
951,27995800,false
952,52989800,false
953,24995300,false
954,24995300,false
955,26999500,false
956,25995100,false
957,25995100,false
958,24999300,false
959,24999300,false
960,24991400,false
961,24991400,false
962,26001400,false
963,24000800,false
964,23993800,false
965,23993800,false
966,23993800,false
967,22993300,false
968,22993300,false
969,22997400,false
970,23994300,false
971,23994300,false
972,22997400,false
973,20998700,false
974,21999400,false
975,22995000,false
976,22995000,false
977,22995000,false
978,22997800,false
979,22997800,false
980,21999400,false
981,21000700,false
982,22002300,false
983,23001000,false
984,23001000,false
985,22002300,false
986,21995400,false
987,21995400,false
988,23000400,false
989,21995400,false
990,21995400,false
991,21997900,false
992,21997900,false
993,21997900,false
994,20996400,false
995,19999900,false
996,19996600,false
997,18999800,false
998,15996600,false
999,10001000,false
1000,4000200,false
1001,4000200,false
1002,7998500,false
1003,8999900,false
1004,7997800,false
1005,7997800,false
1006,8999900,false
1007,10001500,false
1008,10001500,false
1009,10999100,false
1010,9997000,false
1011,1999200,false
1012,3001000,false
1013,12000900,false
1014,10998800,false
1015,13004000,false
1016,2004900,false
1017,14002600,false
1018,14002600,false
1019,14002600,false
1020,15002000,false
1021,15001600,false
1022,13002100,false
1023,18007200,false
1024,18007200,false
1025,18007200,false
1026,18997800,false
1027,17995700,false
1028,18997800,false
1029,18997800,false
1030,20001700,false
1031,18999600,false
1032,21003600,false
1033,20001500,false
1034,21003600,false
1035,17999600,false
1036,20997700,false
1037,21999800,false
1038,23006700,false
1039,22004600,false
1040,22004600,false
1041,22997500,false
1042,25000000,false
1043,25998100,false
1044,25998100,false
1045,24996000,false
1046,25997700,false
1047,25997700,false
1048,28002500,false
1049,27000400,false
1050,28002000,false
1051,28002000,false
1052,29001500,false
1053,30003600,false
1054,29001500,false
1055,30999800,false
1056,30999800,false
1057,29997700,false
1058,32006400,false
1059,31004300,false
1060,33001700,false
1061,31999600,false
1062,33001700,false
1063,34000500,false
1064,32998400,false
1065,35004900,false
1066,34002800,false
1067,34002800,false
1068,34998300,false
1069,34998300,false
1070,36001100,false
1071,37003200,false
1072,36001100,false
1073,38004700,false
1074,39002500,false
1075,38000400,false
1076,38000400,false
1077,40000500,false
1078,40000500,false
1079,39997800,false
1080,39997800,false
1081,46000300,false
1082,46000300,false
1083,47002400,false
1084,46000300,false
1085,46000300,false
1086,47002400,false
1087,46000300,false
1088,46000300,false
1089,47002400,false
1090,47002400,false
1091,48646500,false
1092,48646500,false
1093,50646700,false
1094,49644600,false
