mongo requestN, mongo Time [ns],mongo Failed
161,58062100,false
162,221211000,false
163,75053900,false
164,339254000,false
165,340259900,false
166,87055400,false
167,236205000,false
168,112050200,false
169,79064500,false
170,110072800,false
171,108066000,false
172,104059000,false
173,83064200,false
174,358058600,false
175,305859000,false
176,224547000,false
177,70105700,false
178,71718100,false
179,79699700,false
180,111968500,false
181,128951300,false
182,142345100,false
183,106577500,false
184,395086400,false
185,225203300,false
186,171891000,false
187,129889300,false
188,170876300,false
189,343336700,false
190,266029100,false
191,107212000,false
192,208075400,false
193,271024900,false
194,288033300,false
195,109753100,false
196,109224400,false
197,110532700,false
198,110228100,false
199,113227800,false
200,77549200,false
201,124470400,false
202,66607900,false
203,90607000,false
204,97825500,false
205,120165200,false
206,133342600,false
207,78964800,false
208,101683200,false
209,70498400,false
210,138284200,false
211,156863100,false
212,74801900,false
213,77376100,false
214,106532400,false
215,86932800,false
216,200284800,false
217,323587800,false
218,318581600,false
219,204436200,false
220,392898600,false
221,431640500,false
222,432642700,false
223,171444100,false
224,434636100,false
225,388882600,false
226,268363200,false
227,195440800,false
228,207438400,false
229,350586500,false
230,271454700,false
231,92329800,false
232,71948700,false
233,93929200,false
234,196670800,false
235,72505700,false
236,170810400,false
237,87431300,false
238,92443300,false
239,76736900,false
240,123805600,false
241,97456300,false
242,93435400,false
243,95447800,false
244,98453000,false
245,95438500,false
246,203669500,false
247,114376400,false
248,101388800,false
249,158275800,false
250,269328100,false
251,139473000,false
252,90668600,false
253,208665300,false
254,213664900,false
255,113980900,false
256,111452700,false
257,222760100,false
258,280328900,false
259,110443400,false
260,115445800,false
261,76891900,false
262,192351800,false
263,107434300,false
264,217667000,false
265,336116400,false
266,116446500,false
267,153392800,false
268,223448100,false
269,96668500,false
270,515535800,false
271,156939000,false
272,98500200,false
273,116434900,false
274,199984500,false
275,224664200,false
276,170274800,false
277,384486000,false
278,97347000,false
279,98474600,false
280,97903300,false
281,524529100,false
282,272320600,false
283,83931300,false
284,257894800,false
285,110281100,false
286,96038900,false
287,410908000,false
288,95038600,false
289,115148000,false
290,54249300,false
291,131020700,false
292,63274700,false
293,62263000,false
294,58273300,false
295,63274700,false
296,45274600,false
297,44263100,false
298,131137900,false
299,52245900,false
300,68249300,false
301,74771600,false
302,77381900,false
303,57263800,false
304,55261100,false
305,74264300,false
306,306607900,false
307,137160700,false
308,68259000,false
309,77256400,false
310,71270500,false
311,168040700,false
312,75262200,false
313,163165400,false
314,81250200,false
315,71707000,false
316,74247800,false
317,80247700,false
318,72160100,false
319,164148800,false
320,599786000,false
321,92252200,false
322,105255500,false
323,253530900,false
324,180732900,false
325,99173000,false
326,117257000,false
327,100801800,false
328,572664500,false
329,60620800,false
330,197204500,false
331,123886500,false
332,108894800,false
333,132887800,false
334,227343600,false
335,100904300,false
336,61646400,false
337,85636500,false
338,210890900,false
339,49627900,false
340,529370000,false
341,55634200,false
342,73630900,false
343,150899300,false
344,205785600,false
345,653421800,false
346,142889900,false
347,44087200,false
348,146886700,false
349,67634500,false
350,92651600,false
351,57653500,false
352,538377400,false
353,656430400,false
354,133888800,false
355,106640900,false
356,227779400,false
357,57636600,false
358,57629700,false
359,77637400,false
360,587375000,false
361,110624700,false
362,124628200,false
363,81661800,false
364,125633000,false
365,247796000,false
366,190900600,false
367,398080400,false
368,120627600,false
369,251786200,false
370,179889100,false
371,47999200,false
372,77999000,false
373,137665500,false
374,92000900,false
375,85997100,false
376,52991200,false
377,213886800,false
378,278787600,false
379,351831300,false
380,80007600,false
381,165626300,false
382,206902500,false
383,97997900,false
384,62087100,false
385,98090300,false
386,62079700,false
387,84091000,false
388,127082100,false
389,54085000,false
390,218974800,false
391,253997000,false
392,352424600,false
393,94094300,false
394,72067900,false
395,112082200,false
396,247983700,false
